series_id,start,end,score
562,3,257,0.9891415378191569
563,157,499,0.9823675016603395
564,625,704,0.9662950270120009
565,689,768,0.9999999999999999
566,73,148,1.0
567,543,715,0.9503848422839952
568,84,472,0.15547592755759937
569,28,34,0.8589027498576539
570,494,627,0.14398536034013032
571,114,220,0.9538111138610961
572,462,499,0.9069648333771845
573,70,619,0.9045091893408473
574,212,266,0.9652797659588888
575,328,331,0.9755315082825224
576,176,261,1.0
577,177,488,1.0
578,213,216,0.9877713600696595
579,88,644,0.970777628050448
580,77,379,0.9532751646858312
581,70,341,0.9435001719002732
582,86,109,0.9999999999999999
583,76,531,0.27875029985863514
584,784,788,1.0
585,152,156,1.0
586,230,337,0.9769627854747861
587,305,391,0.9980432473126247
588,470,648,0.9897268457324133
589,696,762,0.9698574402207619
590,0,242,0.9696729746134474
591,553,580,0.9553296637428123
592,92,553,0.8730500047477154
593,145,726,0.9341727609031244
594,217,636,1.0
595,175,664,0.9904961244481106
596,19,33,0.5243997058013598
597,382,791,0.48440508665581894
598,506,777,0.9537365791023623
599,0,46,1.0
600,434,727,0.9434613320666779
601,487,562,0.9741450520109615
602,272,612,1.0
603,32,658,0.992095557322082
604,188,350,0.9812506873728583
605,423,427,1.0
606,193,667,0.9938433691997955
607,37,43,0.9116227316740012
608,163,203,0.9481526818979056
609,71,156,0.9940028836131745
610,46,272,0.9957230960400872
611,205,209,1.0
612,42,373,1.0
613,108,666,0.9836209768125399
614,6,10,0.9872110172081312
615,510,514,0.9810903026864652
616,34,476,0.9957828565375741
617,45,54,0.9999999999999999
618,503,580,0.8241408966336246
619,548,601,0.9660764860170377
620,169,614,1.0
621,281,724,0.9815969256266643
622,451,632,0.9990979940195923
623,700,792,0.9719663055888681
624,177,617,0.9827483592498707
625,308,790,0.9802029392225599
626,105,153,0.9088843086427598
627,122,427,0.9943194818262623
628,69,152,0.9514144383874881
629,31,457,0.9896353751279111
630,184,722,0.989288337966648
631,292,488,0.9997077657036716
632,469,500,0.9884811575779558
633,69,264,0.9908569162389143
634,411,690,1.0
635,699,730,0.534726989275113
636,30,140,0.9768830905129671
637,739,799,0.567053662863476
638,100,741,1.0
639,483,713,1.0
640,134,252,0.989701203464425
641,65,87,1.0
642,46,87,1.0
643,5,622,1.0
644,352,530,0.6917388748953729
645,217,269,0.9796630419445091
646,57,250,0.9838547057078023
647,106,203,0.9984207599205628
648,311,432,1.0
649,279,544,0.9263325481232366
650,211,481,0.991015816029622
651,377,449,0.9452687769587246
652,447,769,0.910325045866755
653,6,306,0.9907340797529384
654,42,190,0.9977664773660716
655,536,682,0.9954045982555695
656,429,500,1.0
657,48,234,0.9999999999999999
658,371,730,0.823131885333634
659,387,401,0.9804927742261593
660,478,553,0.9471526965591217
661,115,201,0.9936630047510765
662,129,379,0.9556853145702698
663,17,28,0.9418932692286602
664,149,239,1.0
665,584,680,0.9471136269280769
